Instance Type,vCPUs,Memory (GiB),Features,Family,CSP,Platform,Category,Min. CPU Architecture,Max. CPU Architecture,Min. Year,Max. Year,Link,,,,,
c5a.4xlarge,16,32,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.8xlarge,32,64,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.large,2,4,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5a.xlarge,4,8,#nolocalstorage #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.12xlarge,48,96,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.16xlarge,64,128,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.24xlarge,96,192,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.2xlarge,8,16,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.4xlarge,16,32,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.8xlarge,32,64,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.large,2,4,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5ad.xlarge,4,8,#ssd #nvme #ena,C5a,AWS,AMD,Compute Optimized,AMD EPYC 2nd gen,AMD EPYC 2nd gen,2019,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.12xlarge,48,96,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.18xlarge,72,144,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.24xlarge,96,192,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.2xlarge,8,16,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.4xlarge,16,32,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.9xlarge,36,72,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.large,2,4,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.metal,96,192,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5d.xlarge,4,8,#ssd #nvme #ena,C5,AWS,Intel,Compute Optimized,Skylake,Cascade Lake,2015,2019,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.18xlarge,72,192,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.2xlarge,8,21,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.4xlarge,16,42,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.9xlarge,36,96,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.large,2,5.25,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.metal,72,192,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c5n.xlarge,4,10.5,#nolocalstorage #ena,C5n,AWS,Intel,Compute Optimized,Skylake,Skylake,2015,2015,https://aws.amazon.com/ec2/instance-types/c5/,,,,,
c6a.12xlarge,48,96,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.16xlarge,64,128,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.24xlarge,96,192,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.2xlarge,8,16,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.32xlarge,128,256,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.48xlarge,192,384,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.4xlarge,16,32,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.8xlarge,32,64,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.large,2,4,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.metal,192,384,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6a.xlarge,4,8,#nolocalstorage #ena,C6a,AWS,AMD,Compute Optimized,AMD EPYC 3rd gen,AMD EPYC 3rd gen,2021,2021,https://aws.amazon.com/ec2/instance-types/c6a/,,,,,
c6g.12xlarge,48,96,#nolocalstorage #ena,C6g,AWS,Graviton,Compute Optimized,Graviton2,Graviton2,2019,2019,https://aws.amazon.com/ec2/instance-types/c6/,,,,,
c6g.16xlarge,64,128,#nolocalstorage #ena,C6g,AWS,Graviton,Compute Optimized,Graviton2,Graviton2,2019,2019,https://aws.amazon.com/ec2/instance-types/c6/,,,,,
c6g.2xlarge,8,16,#nolocalstorage #ena,C6g,AWS,Graviton,Compute Optimized,Graviton2,Graviton2,2019,2019,https://aws.amazon.com/ec2/instance-types/c6/,,,,,
c6g.4xlarge,16,32,#nolocalstorage #ena,C6g,AWS,Graviton,Compute Optimized,Graviton2,Graviton2,2019,2019,https://aws.amazon.com/ec2/instance-types/c6/,,,,,
